stockSymbol,currentPrice,earningsGrowth,ebitda,ebitdaMargins,grossMargins,grossProfits,current_ratio,debt_to_eqr,ROA,ROE,net_profit_margin,revenueGrowth,operatingCashflow,operatingMargins,profitMargins,quickRatio,revenuePerShare,totalCash,totalCashPerShare,totalDebt,totalRevenue,operatingMargins
GUJGASLTD.NS,527.05,0.986,19452575744,0.21395001,0.27887,22182300000,0,38.554,0,0,0.12949,0.129,0,0.17953,0.12949,0,132.021,8937600000,12.986,14513899520,90919600128,0.17953
HEROMOTOCO.NS,2870,0.456,40995098624,0.13242,0.29767,92155800000,1.748,3.678,0.09891,0.19504,0.09425,0.372,41104498688,0.10932,0.09425,1.424,1549.896,69873098752,349.786,5723299840,309591900160,0.10932
IGL.NS,511.15,0.282,13402200064,0.27115,0.46537,25052400000,0,1.531,0,0,0.22017,-0.131,0,0.2209,0.22017,0,70.596,25094899712,35.819,854000000,49427001344,0.2209
IOC.NS,100.15,0.627,252396503040,0.068959996,0.18818001,644815800000,0,92.798,0,0,0.01319,-0.177,0,0.041989997,0.01319,0,398.867,215081893888,23.437,974151483392,3659903795200,0.041989997
IOLCP.NS,616.05,0.135,6157575168,0.31609,0.44748002,8207300000,0,2.242,0,0,0.23591,0.003,0,0.29733,0.23591,0,336.611,2861299968,48.74,245500000,19480600576,0.29733
IRCTC.NS,1771,-0.621,2401902848,0.23292999,0.34160998,8373573000,0,0,0,0,0.22957,-0.687,0,0.20862,0.22957,0,64.432,16619302912,103.871,0,10311530496,0.20862
JAICORPLTD.NS,92.3,79.8,649134720,0.13081999,0.36905,2145095000,0,15.195,0,0,0.16371,-0.119,0,0.096949995,0.16371,0,27.733,1179200000,6.605,2041600000,4961935872,0.096949995
LT.NS,1384.9,0.048,167887175680,0.12417,0.37175998,498203600000,0,180.349,0,0,0.084960006,-0.002,0,0.1086,0.084960006,0,962.948,511498289152,364.332,1487898935296,1352113061888,0.1086
LUPIN.NS,1176,0.18,25668800512,0.16929,0.64636004,99370100000,1.658,22.121,0.0432,0.092889994,0.08023,-0.016,18217598976,0.11076,0.08023,1.071,334.537,45572198400,100.477,30655600640,151629594624,0.11076
NTPC.NS,110.35,0.187,354387460096,0.31693,0.46137002,470794800000,0,156.705,0,0,0.10399,0.083,0,0.21783,0.10399,0,113.031,214992699392,21.748,1971987152896,1118190567424,0.21783
PVR.NS,1159.95,0,-4614199808,-0.62044996,0.58456004,22734800000,0.51,391.15,0,0,-0.71692,-0.95,-1510899968,-0.89813006,-0.71692,0.34,141.507,3725600000,67.526,51705298944,7436800000,-0.89813006
SBILIFE.NS,964,0.003,16975171584,0.020669999,0.05757,47270600000,1.687,0,0.00522,0.1521,0.01773,2.86,236276203520,0.01997,0.01773,0.64,821.235,27105200128,27.086,0,821150613504,0.01997
SUNTV.NS,520,0.158,15551699968,0.4963,0.74698997,25962900000,0,0,0,0,0.40945,0.173,0,0.46980998,0.40945,0,79.475,34976899072,88.71,0,31335499776,0.46980998
